Allele List ,Frequency
Di10A396,0.636363636
Di10A398,0.181818182
Di10A400,0
Di10A402,0
Di2A136,0.416666667
Di2A139,0.375
Di2A141,0.208333333
Di24A275,0.777777778
Di24A277,0.222222222
Di24A279,0
Di6A171,0.625
Di8A263,0.454545455
Di8A265,0.454545455
Tet13A168,0.833333333
Tet8A247,0.176470588
Tet8A255,0
Tet8A268,0
Tri1A240,0.769230769
Tri14A138,0.75
Tri24A237,0.161290323
Tri24A258,0.290322581
Tri24A263,0.064516129
Tri24A266,0.096774194
Tri24A272,0.161290323
Tri4A162,0.388888889
Tri4A168,0
Tri7A120,0.384615385
Tri7A130,0.076923077
Tri7A136,0.230769231
Tri8A268,0.142857143
Tri8A271,0.428571429
Tri9A183,0.210526316
Tri9A189,0.368421053
Tri9A201,0.105263158
Di10A386,0.181818182
Di6A169,0.1875
Di6A175,0.1875
Di8A261,0.090909091
Tet13A164,0.166666667
Tet8A239,0.058823529
Tet8A243,0.176470588
Tet8A251,0.058823529
Tet8A254,0.058823529
Tet8A264,0.058823529
Tet8A276,0.058823529
Tet8A278,0.058823529
Tet8A282,0.058823529
Tet8A287,0.117647059
Tet8A291,0.058823529
Tet8A307,0.058823529
Tri1A237,0.230769231
Tri14A132,0.083333333
Tri14A135,0.166666667
Tri24A269,0.161290323
Tri24A275,0.064516129
Tri4A146,0.055555556
Tri4A149,0.055555556
Tri4A152,0.222222222
Tri4A155,0.055555556
Tri4A165,0.222222222
Tri7A128,0.115384615
Tri7A139,0.076923077
Tri7A145,0.038461538
Tri7A154,0.038461538
Tri7A157,0.038461538
Tri8A274,0.428571429
Tri9A186,0.052631579
Tri9A192,0.052631579
Tri9A198,0.052631579
Tri9A204,0.157894737
Di10A390,0
Di10A394,0
Di24A273,0
Di6A173,0
Tet13A156,0
Tet13A160,0
Tet13A172,0
Tet8A200,0
Tet8A234,0
Tet8A246,0
Tet8A250,0
Tet8A259,0
Tet8A266,0
Tet8A270,0
Tet8A272,0
Tet8A274,0
Tet8A280,0
Tet8A284,0
Tet8A299,0
Tet8A303,0
Tet8A328,0
Tri1A243,0
Tri14A141,0
Tri14A144,0
Tri4A177,0
Tri7A133,0
Tri7A142,0
Tri7A160,0
Tri9A195,0
Di2A143,0
Tet8A194,0
Tet8A295,0
Tet8A337,0
Tri1A234,0
Tri14A147,0
Di6A165,0
Tri4A180,0
Tri7A148,0
Tri9A207,0
Tet8A222,0
Tet8A258,0
Tet8A262,0
Tet8A320,0
Tri9A171,0
Tri9A210,0
Tet8A311,0
Tri4A171,0
Di6A134,0
Tet8A230,0
Tri4A130,0
